,testName,count
85,81:LinearComp,1185
84,80:LinearComp,1185
9,12:CollisionOver,69
8,11:CollisionOver,58
21,23:ClosePairs,49
80,77:RandomWalk1,48
81,78:RandomWalk1,44
23,25:ClosePairs,44
79,76:RandomWalk1,43
20,22:ClosePairs,43
78,75:RandomWalk1,42
77,74:RandomWalk1,39
82,79:RandomWalk1,38
22,24:ClosePairs,36
7,10:CollisionOver,28
105,9:CollisionOver,26
46,46:MaxOft,25
38,39:Run,16
48,48:MaxOft,16
5,105:AutoCor,15
86,82:LempelZiv,15
90,86:LongestHeadRun,15
33,34:Gap,15
43,43:Permutation,14
47,47:MaxOft,14
62,60:WeightDistrib,14
99,94:HammingCorr,13
26,28:SimpPoker,12
10,13:BirthdaySpacings,12
60,59:WeightDistrib,12
94,8:CollisionOver,12
56,55:SampleCorr,12
104,99:HammingIndep,12
102,97:HammingIndep,12
101,96:HammingIndep,12
83,7:CollisionOver,12
50,4:CollisionOver,12
57,56:SampleCorr,12
97,92:HammingCorr,11
37,38:Run,11
41,41:Permutation,11
49,49:MaxOft,10
59,58:AppearanceSpacings,10
71,69:MatrixRank,10
70,68:MatrixRank,10
17,1:SerialOver,10
32,33:CouponCollector,10
66,64:WeightDistrib,9
67,65:SumCollector,9
69,67:MatrixRank,9
100,95:HammingIndep,9
91,87:LongestHeadRun,9
58,57:AppearanceSpacings,9
87,83:LempelZiv,9
0,100:HammingIndep,9
53,52:SampleProd,9
27,29:SimpPoker,9
51,50:SampleProd,9
2,102:Run,9
28,2:SerialOver,9
35,36:Gap,9
18,20:BirthdaySpacings,9
36,37:Gap,9
39,3:CollisionOver,9
76,73:GCD,8
75,72:Savir2,8
54,53:SampleMean,8
96,91:HammingWeight2,8
40,40:Permutation,8
19,21:BirthdaySpacings,8
103,98:HammingIndep,8
13,16:BirthdaySpacings,8
15,18:BirthdaySpacings,8
31,32:CouponCollector,7
16,19:BirthdaySpacings,7
95,90:HammingWeight2,7
30,31:CouponCollector,7
24,26:SimpPoker,7
14,17:BirthdaySpacings,7
74,71:MatrixRank,7
92,88:PeriodsInStrings,7
63,61:WeightDistrib,7
52,51:SampleProd,7
1,101:Run,7
72,6:CollisionOver,6
25,27:SimpPoker,6
6,106:AutoCor,6
98,93:HammingCorr,5
11,14:BirthdaySpacings,5
4,104:AutoCor,5
3,103:AutoCor,5
12,15:BirthdaySpacings,5
55,54:SampleMean,5
42,42:Permutation,5
64,62:WeightDistrib,5
44,44:CollisionPermut,5
61,5:CollisionOver,5
29,30:CouponCollector,5
89,85:Fourier3,4
34,35:Gap,4
68,66:MatrixRank,4
65,63:WeightDistrib,4
45,45:CollisionPermut,4
93,89:PeriodsInStrings,3
88,84:Fourier3,3
73,70:MatrixRank,3
