File name,a,b,c,d,e,f
Mts000M000000.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000001.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000002.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000003.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000004.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000005.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000006.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000007.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000008.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000010.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000011.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000015.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000020.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000021.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000022.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000023.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000025.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000026.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000027.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000028.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000032.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000035.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000036.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000037.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000038.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000041.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000044.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000046.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000047.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000049.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000050.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000052.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000053.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000054.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000055.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000056.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000057.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000059.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000062.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000063.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000065.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000066.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000069.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000070.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000072.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000073.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000075.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000076.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000078.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000079.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000082.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000083.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000084.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000085.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000086.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000088.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000089.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000090.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000093.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000094.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000095.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000096.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000097.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000100.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000101.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000104.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000105.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000106.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000107.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000108.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000109.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000111.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000112.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000113.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000114.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000115.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000116.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000117.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000118.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000120.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000121.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000124.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000125.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000128.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000129.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000130.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000132.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000133.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000134.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000135.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000136.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000137.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000138.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000139.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000140.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000141.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000142.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000143.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000144.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000145.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000146.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000147.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000151.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000152.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000154.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000155.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000156.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000157.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000158.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000159.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000161.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000164.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000165.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000166.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000167.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000168.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000169.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000170.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000171.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000172.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000173.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000174.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000175.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000176.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000177.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000179.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000180.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000181.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000183.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000184.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000185.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000187.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000188.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000189.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000190.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000191.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000192.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000193.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000195.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000196.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000198.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000200.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000201.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000202.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000203.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000204.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000205.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000206.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000207.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000209.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000211.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000212.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000214.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000217.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000219.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000221.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000222.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000224.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000227.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000228.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000229.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000233.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000236.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000238.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000239.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000241.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000242.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000243.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000245.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000248.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000251.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000252.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000253.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000254.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000255.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000256.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000258.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000260.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000262.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000263.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000264.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000265.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000266.txt,"80:LinearComp,","81:LinearComp,",,,,
Mts000M000267.txt,"80:LinearComp,","81:LinearComp,",,,,
