File name,a,b,c,d,e
Mts000M000001.txt,80:LinearComp,81:LinearComp,,,
Mts000M000005.txt,80:LinearComp,81:LinearComp,,,
Mts000M000006.txt,80:LinearComp,81:LinearComp,,,
Mts000M000007.txt,80:LinearComp,81:LinearComp,,,
Mts000M000008.txt,80:LinearComp,81:LinearComp,,,
Mts000M000009.txt,80:LinearComp,81:LinearComp,,,
Mts000M000010.txt,80:LinearComp,81:LinearComp,,,
Mts000M000011.txt,80:LinearComp,81:LinearComp,,,
Mts000M000012.txt,80:LinearComp,81:LinearComp,,,
Mts000M000013.txt,80:LinearComp,81:LinearComp,,,
Mts000M000014.txt,80:LinearComp,81:LinearComp,,,
Mts000M000015.txt,80:LinearComp,81:LinearComp,,,
Mts000M000016.txt,80:LinearComp,81:LinearComp,,,
Mts000M000017.txt,80:LinearComp,81:LinearComp,,,
Mts000M000018.txt,80:LinearComp,81:LinearComp,,,
Mts000M000019.txt,80:LinearComp,81:LinearComp,,,
Mts000M000021.txt,80:LinearComp,81:LinearComp,,,
Mts000M000022.txt,80:LinearComp,81:LinearComp,,,
Mts000M000023.txt,80:LinearComp,81:LinearComp,,,
Mts000M000025.txt,80:LinearComp,81:LinearComp,,,
Mts000M000026.txt,80:LinearComp,81:LinearComp,,,
Mts000M000027.txt,80:LinearComp,81:LinearComp,,,
Mts000M000028.txt,80:LinearComp,81:LinearComp,,,
Mts000M000032.txt,80:LinearComp,81:LinearComp,,,
Mts000M000034.txt,80:LinearComp,81:LinearComp,,,
Mts000M000035.txt,80:LinearComp,81:LinearComp,,,
Mts000M000036.txt,80:LinearComp,81:LinearComp,,,
Mts000M000037.txt,80:LinearComp,81:LinearComp,,,
Mts000M000038.txt,80:LinearComp,81:LinearComp,,,
Mts000M000039.txt,80:LinearComp,81:LinearComp,,,
Mts000M000040.txt,80:LinearComp,81:LinearComp,,,
Mts000M000041.txt,80:LinearComp,81:LinearComp,,,
Mts000M000042.txt,80:LinearComp,81:LinearComp,,,
Mts000M000043.txt,80:LinearComp,81:LinearComp,,,
Mts000M000044.txt,80:LinearComp,81:LinearComp,,,
Mts000M000045.txt,80:LinearComp,81:LinearComp,,,
Mts000M000046.txt,80:LinearComp,81:LinearComp,,,
Mts000M000048.txt,80:LinearComp,81:LinearComp,,,
Mts000M000051.txt,80:LinearComp,81:LinearComp,,,
Mts000M000052.txt,80:LinearComp,81:LinearComp,,,
Mts000M000053.txt,80:LinearComp,81:LinearComp,,,
Mts000M000054.txt,80:LinearComp,81:LinearComp,,,
Mts000M000057.txt,80:LinearComp,81:LinearComp,,,
Mts000M000058.txt,80:LinearComp,81:LinearComp,,,
Mts000M000059.txt,80:LinearComp,81:LinearComp,,,
Mts000M000060.txt,80:LinearComp,81:LinearComp,,,
Mts000M000061.txt,80:LinearComp,81:LinearComp,,,
Mts000M000062.txt,80:LinearComp,81:LinearComp,,,
Mts000M000063.txt,80:LinearComp,81:LinearComp,,,
Mts000M000064.txt,80:LinearComp,81:LinearComp,,,
Mts000M000066.txt,80:LinearComp,81:LinearComp,,,
Mts000M000067.txt,80:LinearComp,81:LinearComp,,,
Mts000M000070.txt,80:LinearComp,81:LinearComp,,,
Mts000M000071.txt,80:LinearComp,81:LinearComp,,,
Mts000M000072.txt,80:LinearComp,81:LinearComp,,,
Mts000M000074.txt,80:LinearComp,81:LinearComp,,,
Mts000M000075.txt,80:LinearComp,81:LinearComp,,,
